Gene_name,logFC,PValue
INSIG1,-2.4398881,7.68E-18
PREX1,2.2121389,8.31E-18
ELAVL4,-2.9698947,8.50E-18
GNG4,-3.0379762,8.61E-18
PION,2.4233584,9.58E-18
GPX1,1.9307612,9.77E-18
PRELP,-2.5839442,9.90E-18
KLK8 /// KLK9,-2.1765345,1.01E-17
MLLT4,-3.2072093,1.03E-17
LOC283859,-1.4741899,1.04E-17
PAQR5,-3.0585803,1.10E-17
EGFR,-2.792267,1.20E-17
CASP1,2.2587423,1.40E-17
FDFT1,-2.0335749,1.44E-17
FOLH1 /// FOLH1B,-2.2011022,1.47E-17
ATF7IP2,2.4442446,1.50E-17
PRDM1,2.9727959,1.56E-17
PAK3,-1.8662589,1.67E-17
NPNT,-2.7848167,1.70E-17
TMEM97,-1.8728642,1.83E-17
GAPT,4.016908,2.07E-17
PLD4,3.0872856,2.13E-17
PALLD,2.0693991,2.23E-17
PDZRN4,-3.6893416,2.26E-17
CCND1,3.1381344,2.27E-17
PALLD,2.3301277,2.42E-17
CLP 1,1.1776126,2.49E-17
PDE6B,1.7610295,2.62E-17
GPX1,2.1053164,2.64E-17
TJP2,-2.7333224,2.70E-17
FOXC2,-2.0886755,2.73E-17
NRD1,-0.6336875,2.93E-17
HLA-DPB1,2.7310513,3.04E-17
CARS,-1.3951439,3.14E-17
SLC7A2,-3.3165141,3.37E-17
BVES,2.6849435,4.01E-17
CLN8,1.7622264,4.22E-17
CARS,-1.3652963,4.34E-17
ELAVL4,-3.3268476,4.36E-17
PREX1,2.2820089,4.74E-17
SPAG5,-2.0961373,4.74E-17
INSIG1,-2.4352028,4.94E-17
FDFT1,-2.0489586,5.14E-17
P2RY2,-2.2794067,5.19E-17
FGFBP3,-2.1866088,5.55E-17
HLA-DPB1,2.4431812,5.65E-17
HLA-DPB1,2.607432,6.00E-17
MFAP5,-4.320639,6.59E-17
FDFT1,-2.0901811,6.83E-17
SORL1,2.9330699,7.05E-17
ELAVL4,-3.9205995,7.25E-17
STMN2,-6.5722049,7.56E-17
DENND1B,1.2715492,7.65E-17
SNCG,-2.7309055,8.62E-17
SLC2A1,-2.6398194,8.73E-17
SORL1,3.1800727,9.71E-17
KIAA1244,-1.7761742,1.18E-16
UPRT,0.9567035,1.18E-16
FBXO2,-3.3643166,1.26E-16
PRSS23,2.0605245,1.44E-16
LOC153328,-4.4894009,1.67E-16
COL1A2,1.8246554,1.91E-16
A4GALT,-1.7601875,1.95E-16
GNG4,-1.9966038,2.09E-16
FOLH1,-2.6899279,2.16E-16
HLA-DPB1,2.4192809,2.21E-16
NEFH,-4.5745054,2.24E-16
HLA-DPA1,2.6690979,2.37E-16
BNC2,-2.8514225,2.43E-16
EMB /// LOC647121,2.9106462,2.51E-16
SPTLC3,-1.1295566,2.57E-16
MAPK8IP1,-2.5506077,2.72E-16
EBF2,-2.344862,2.77E-16
TJP2,-3.4011973,2.79E-16
CXorf57,-1.0832273,2.84E-16
UAP1,-1.7353914,3.02E-16
CCND1,2.7110509,3.06E-16
MNDA,3.4334995,3.32E-16
GNG4,-2.1533685,3.75E-16
SLC27A6,-3.9518517,3.80E-16
JDP2,1.4174443,3.81E-16
PDGFC,2.3403497,3.89E-16
LOC220930,-2.1510357,4.03E-16
HLA-DMB,3.564657,4.13E-16
PRSS23,2.118336,4.19E-16
FDFT1,-1.9318504,4.39E-16
HRH1,-2.2295734,4.45E-16
TBCC,1.2605896,4.65E-16
OLFML3,2.3763868,4.66E-16
DGAT2,-2.4809352,4.74E-16
CYP4B1,-3.8643608,4.88E-16
HINT3,-1.4908176,4.90E-16
STMN2,-5.7238118,5.02E-16
ADH1B,-5.6588532,5.03E-16
RUNX1T1,-2.1854016,5.16E-16
HLA-DPA1,2.5148742,5.21E-16
FRMD4A,1.9319791,5.31E-16
NEFH,-3.9748016,5.34E-16
EBF2,-1.7811141,5.50E-16
ZBTB7C,-2.5086426,5.62E-16
FBXL19,1.0968159,5.67E-16
C10orf11,1.8405138,6.06E-16
GPRC5A,-3.0414744,6.32E-16
C19orf33,-3.8803941,6.44E-16
SLFN12,1.6452992,6.57E-16
CASP1,2.1125516,6.78E-16
ARHGAP10,-2.114218,7.10E-16
MLPH,-2.8846377,7.56E-16
SLC17A6,-3.0905346,7.74E-16
HPGDS,3.3058951,7.84E-16
SLC22A2,-3.0838585,8.19E-16
TMOD1,-3.4450411,8.21E-16
FAM78A,2.4642757,8.23E-16
COL1A2,1.7416502,8.37E-16
LARP6,-2.489508,8.71E-16
PTPRJ,1.7707505,8.81E-16
CASP1,2.1186634,9.00E-16
1-Mar,2.5305945,9.08E-16
CCND1,1.8488876,9.09E-16
MLPH,-2.45962,9.15E-16
LILRB4,4.3149384,9.36E-16
MUSTN1,-3.7497992,9.48E-16
NOP56,-1.0030942,9.51E-16
PTGS1,3.0594256,1.04E-15
HLA-DMB,3.7116062,1.05E-15
PDGFD,2.9957769,1.10E-15
FOXD2,-1.827109,1.11E-15
SOX7,-1.747633,1.12E-15
NECAB1,-2.3958737,1.16E-15
CASP1,2.3990396,1.21E-15
STMN2,-6.6888942,1.22E-15
DLC1,-1.3068805,1.24E-15
KLK1,-2.5151557,1.26E-15
TMCC3,1.8679104,1.27E-15
COTL1,1.5653248,1.29E-15
HLA-DMB,3.5053179,1.29E-15
TJP2,-3.0840442,1.38E-15
BCAT2,-1.5596304,1.39E-15
SFRS1,-0.9105429,1.46E-15
1-Mar,2.1793498,1.48E-15
FOLH1 /// FOLH1B,-2.9509335,1.48E-15
MLLT4,-2.8405742,1.51E-15
PRSS23,1.6965811,1.51E-15
GAL3ST4,2.5939032,1.53E-15
HRH1,-0.9867122,1.69E-15
LPCAT2,1.7344152,1.69E-15
FXYD7,-2.0281863,1.69E-15
ADH1B,-2.4601443,1.75E-15
BNC2,-2.9235193,1.79E-15
NUMBL,-1.2795514,2.01E-15
JAG1,-1.4410651,2.08E-15
ACADL,-3.4252593,2.09E-15
YAP1,-1.6277727,2.12E-15
PRSS23,1.9285185,2.20E-15
CACNA1D,2.4413295,2.33E-15
DUSP6,1.7617182,2.44E-15
PI16,-3.0375919,2.46E-15
IL28RA,3.6630877,2.51E-15
ALDH1A1,2.0900418,2.65E-15
PRSS23,1.5833115,2.67E-15
FDFT1,-1.7196766,2.85E-15
PPFIBP1,-3.2166659,2.87E-15
INSIG1,-2.7535023,2.88E-15
RAI2,-2.4674245,2.89E-15
CDK6,2.4291844,2.94E-15
USP46,-2.1494201,3.05E-15
LMO7,-1.6724548,3.11E-15
TIMM16,-0.9454891,3.22E-15
CCDC160,2.818902,3.25E-15
NOP56,-0.9969371,3.26E-15
FOXP1,-1.4336949,3.37E-15
STMN2,-5.7176905,3.44E-15
GPR4,-1.8781938,3.45E-15
C10orf114,2.8764005,3.46E-15
NDST1,2.4470117,3.47E-15
RNF24,-1.4843889,3.98E-15
CSF1R,2.5993604,4.00E-15
FOXC1,-3.244525,4.02E-15
CCND1,2.4200243,4.25E-15
CELF2,1.4880244,4.48E-15
DOCK8,2.9696456,4.48E-15
JDP2,1.433793,4.72E-15
HDAC9,2.0110757,4.78E-15
NTN1,-1.4122143,4.82E-15
ABLIM3,1.7214562,4.85E-15
ACSS2,-1.2047014,4.87E-15
GNG3,-3.8633317,4.88E-15
S100P,-4.1706866,4.93E-15
RAI2,-2.4222269,5.04E-15
CLDN19,-3.4983904,5.30E-15
RFX5,1.2235542,5.32E-15
ALDH1A1,1.9081924,5.36E-15
SNORA72,-1.4705616,5.49E-15
KCNT2,-2.6050966,5.59E-15
RNF10,-0.8864014,5.64E-15
TNNC1,-5.8468756,5.71E-15
ORC5L,-0.6607754,5.72E-15
CCDC34,-1.4722923,5.75E-15
PRKD3,1.2962615,5.79E-15
C1orf128,-0.9776597,5.80E-15
P2RY13,2.4915257,5.86E-15
KIF5C,-2.1279089,6.00E-15
SLC2A14 /// SLC2A3,-2.3464278,6.18E-15
RASSF4,2.0600815,6.69E-15
SLPI,-5.5692154,6.86E-15
PAX3,-2.5122232,6.90E-15
SNED1,-3.9362511,6.93E-15
SLC3A2,-0.9353665,7.01E-15
SCGN,-1.0080391,7.03E-15
MLPH,-2.9726765,7.20E-15
PARD3,-2.1751417,7.20E-15
TJP2,-3.36242,7.23E-15
RFX5,1.4335329,7.27E-15
DCK,1.6289138,7.48E-15
ADH1B,-5.0753248,7.55E-15
ASS1,-3.4859394,7.60E-15
EVI2B,3.3463493,8.12E-15
VEGFB,1.2397702,8.21E-15
PYCARD,2.3749499,8.60E-15
SMG7,-1.0220376,8.84E-15
ADH1B,-4.5007764,9.02E-15
NAGA,1.4697738,9.08E-15
APBB1IP,3.183332,9.20E-15
WNK2,-1.2867744,9.36E-15
TSHZ2,-3.5856351,9.60E-15
BNC2,-2.0489194,1.00E-14
INPPL1,1.1544948,1.06E-14
PTGS1,3.2816034,1.07E-14
FOXC1,-2.9629054,1.08E-14
SYK,3.0234567,1.09E-14
TBX18,-1.2116758,1.11E-14
MS4A7,3.702799,1.12E-14
SLC2A1,-1.8923047,1.14E-14
COX11,-0.8282372,1.20E-14
CEBPA,3.7215504,1.26E-14
EFNB1,-1.7297227,1.27E-14
TRIM34 /// TRIM6-TRIM34,2.0098493,1.29E-14
RAPGEF3,-2.11618,1.30E-14
MS4A7,4.0910391,1.33E-14
HLA-DPA1,1.8323247,1.33E-14
CSF1R,2.7314487,1.33E-14
CD84,3.5672352,1.33E-14
C3AR1,2.9946136,1.35E-14
PHF11,1.1342048,1.41E-14
TWIST1,-3.6155381,1.43E-14
NECAB1,-2.1272119,1.43E-14
DHPS,-0.8114886,1.45E-14
TNFAIP8L2,2.6248919,1.45E-14
CALM3,-1.1074653,1.47E-14
ATP8B4,2.6512498,1.49E-14
DUSP6,1.6936924,1.52E-14
WDFY4,2.9370378,1.54E-14
HMHA1,1.9707591,1.68E-14
SLC7A2,-4.0421408,1.71E-14
XKR4,3.26838,1.78E-14
ALDH1A1,1.8049104,1.81E-14
SHOX2,-1.82109,1.88E-14
KCNG3,-1.5444435,1.94E-14
USP46,-2.0491576,1.96E-14
CYB561D1,1.0773399,2.02E-14
EFNA1,-3.0252232,2.05E-14
FBXO2,-3.8984133,2.06E-14
MMP14,1.3805673,2.08E-14
HLA-DMB,2.511156,2.14E-14
ASS1,-3.8135635,2.18E-14
SHROOM1,-1.7985472,2.26E-14
CSF2RA,3.1667354,2.29E-14
BAX,1.7404885,2.30E-14
NMB,-2.0953194,2.37E-14
CCND2,1.2861364,2.49E-14
GPR34,3.0332832,2.52E-14
MS4A6A,2.7528745,2.70E-14
LPAR5,3.3205036,2.71E-14
ZNF219,1.2631831,2.81E-14
NBL1,-2.3902437,2.86E-14
ALPL,-2.2374881,2.86E-14
PDZRN4,-2.756183,2.87E-14
C3orf54,1.8948721,2.89E-14
PA2G4,-0.6392419,2.93E-14
C12orf69,2.7109668,2.97E-14
HLA-DQA1 /// HLA-DRA,3.3998404,3.06E-14
HRH1,-2.0191403,3.10E-14
SLC2A14 /// SLC2A3,-2.421853,3.19E-14
CLDN1,-2.9254594,3.25E-14
CD37,2.9171195,3.27E-14
TUBA4A,-1.8856082,3.38E-14
PI16,-0.9373017,3.39E-14
SLC27A6,-3.0367329,3.42E-14
SCG2,-4.0773315,3.44E-14
PRKAG1,1.0311873,3.48E-14
ADH1B,-5.449835,3.49E-14
PALMD,-2.709819,3.50E-14
FOXC1,-3.7088883,3.51E-14
MMP14,1.7618241,3.51E-14
MRAP2,-3.1129842,3.51E-14
LEPR,-2.5161531,3.55E-14
FOXD1,-3.6019115,3.55E-14
LY86,3.4184839,3.56E-14
MARCKS,1.6006536,3.60E-14
IGSF6,3.0360715,3.60E-14
TMEM65,1.2359639,3.74E-14
ZNF469,2.2992129,3.80E-14
HSF4,-2.1890582,3.89E-14
COL1A2,1.6698865,3.92E-14
TSHZ2,-1.3373218,3.96E-14
USP54,-1.5161204,3.97E-14
CASP1,2.2595459,4.17E-14
COL5A1,1.5831031,4.20E-14
APH1A,0.768104,4.24E-14
IFIT2,2.2917813,4.30E-14
ZNF219,1.1841734,4.34E-14
CLDN1,-3.459629,4.42E-14
KRT19,-2.2456879,4.54E-14
LILRA2,2.5118903,4.67E-14
CPEB2,-1.7177328,4.67E-14
NUMBL,-1.3803493,4.82E-14
SNCG,-2.5393648,5.19E-14
SLC3A2,-0.9300614,5.21E-14
SIGLEC10 /// SIGLEC12,3.4100253,5.25E-14
FRAS1,3.1352245,5.31E-14
TJP2,-3.3745535,5.57E-14
RRM2B,1.3340812,5.58E-14
TP53INP1,1.4643588,5.83E-14
C11orf92,-1.02998,6.01E-14
ZDHHC7,0.8163242,6.06E-14
BMP3,-0.8021033,6.30E-14
SLC43A1,-1.3233391,6.38E-14
AKR1C1,-4.0176453,6.39E-14
TJP2,-3.0732989,6.44E-14
TMCC3,1.5437713,6.48E-14
SYK,2.7395547,6.53E-14
NEDD4L,1.6411324,6.56E-14
TMEM176A,2.2587677,6.59E-14
STX11,2.6488451,6.61E-14
SSTR2,-1.5560254,6.85E-14
TRIO,2.2774307,6.86E-14
CYBB,2.5479168,6.87E-14
DUSP6,1.8554548,6.88E-14
FAIM2,-3.0230919,7.16E-14
DLX1,2.1668559,7.19E-14
DOCK4,2.2978301,7.19E-14
CLTB,-1.2845517,7.27E-14
KCNK2,-2.1275515,7.33E-14
C7orf68,-2.7407195,7.53E-14
LTC4S,2.9406773,7.53E-14
TMEM176B,2.3060948,7.54E-14
CLEC7A,2.8284759,7.59E-14
RUNX1T1,-2.6962076,7.60E-14
GNAI3,1.0003154,7.95E-14
ZNF428,1.9753442,8.12E-14
LHFPL2,1.4194186,8.28E-14
ARRB2,2.0508466,8.35E-14
ANXA9,-1.7122905,8.36E-14
TREM2,3.7010413,8.39E-14
COL1A2,1.5335539,8.40E-14
FOSL2,-2.1738429,8.46E-14
FGFRL1,-1.5067047,8.48E-14
HLA-DRB1,2.2752364,8.63E-14
TM6SF1,2.7471375,8.80E-14
LGI3,-2.5231629,8.88E-14
TKT,-1.2993222,8.90E-14
SLC3A2,-0.8917547,9.21E-14
PLXNB1,-2.0497565,9.22E-14
MS4A6A,3.163004,9.52E-14
SAMD5,2.3731624,9.64E-14
CSF2RA,3.1005994,9.70E-14
RNASE6,2.7781626,9.75E-14
TNS3,2.147451,9.94E-14
CASP1,1.6373055,9.98E-14
TGFB1,1.6698225,1.00E-13
APH1A,0.8197473,1.00E-13
SIPA1,1.0276107,1.02E-13
NEK1,-1.8025866,1.06E-13
ARNT2,-1.3705138,1.09E-13
STX11,2.1786399,1.12E-13
PINX1,-0.9520342,1.13E-13
C3orf38,1.0939911,1.14E-13
SELPLG,2.9784775,1.15E-13
LOC157503,3.4889114,1.18E-13
AGA,1.0044947,1.18E-13
DOCK2,2.8878774,1.19E-13
PARP8,1.4261281,1.20E-13
TRIM32,0.9967752,1.21E-13
ERMAP,1.7214375,1.23E-13
LILRA2,2.7614301,1.24E-13
PROS1,1.0579304,1.25E-13
GFPT2,-1.7113274,1.27E-13
C13orf36,-2.419334,1.27E-13
MS4A6A,2.9491965,1.29E-13
TJP2,-3.4456825,1.30E-13
TYROBP,2.5705948,1.30E-13
CDK6,2.613601,1.32E-13
TM6SF1,2.6485611,1.33E-13
ADRBK2,1.7779125,1.33E-13
APH1B,1.6153633,1.35E-13
MAGI1,-1.6694122,1.38E-13
CLEC7A,2.4696939,1.38E-13
PIK3R5,3.4018102,1.39E-13
SFRS1,-1.0161285,1.41E-13
DOK1,1.5577298,1.41E-13
CSF2RA,2.8498097,1.45E-13
PI16,-2.2933544,1.46E-13
PTPN5,-2.2557451,1.47E-13
LPCAT2,1.8091099,1.47E-13
DAP,0.8380715,1.47E-13
COL5A2,2.0866703,1.47E-13
TESK2,-1.7506457,1.48E-13
RUNX1T1,-2.572986,1.49E-13
C10orf58,-1.1726628,1.52E-13
METRN,1.9496469,1.54E-13
CARD8,1.6407469,1.54E-13
USP9X,1.3353241,1.54E-13
RFX5,1.5595575,1.55E-13
NLGN4X,2.7254196,1.57E-13
TSHZ2,-1.5550768,1.57E-13
CDK6,1.9219972,1.58E-13
METRN,1.8344076,1.59E-13
SYT9,-1.5602078,1.60E-13
HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4 /// HLA-DRB5,2.1568077,1.61E-13
TNNT2,-2.5586086,1.65E-13
EIF3B,-0.7731649,1.69E-13
SFRP1,4.1357258,1.71E-13
PROS1,1.9257204,1.72E-13
SLC8A1,2.9596447,1.72E-13
COL5A2,1.6463743,1.73E-13
L1CAM,1.8171435,1.79E-13
CSF2RA,2.9326852,1.80E-13
IRX3,-2.0252169,1.82E-13
FGFR1,-2.4790931,1.82E-13
MAST2,-1.3634134,1.83E-13
C20orf194,0.761111,1.90E-13
TLE2,-2.099705,1.91E-13
PLCD4,-1.4716236,1.98E-13
CRLF3,1.1605601,2.01E-13
SLC26A6,-1.387276,2.06E-13
FOLH1,-2.3645383,2.06E-13
GNG7,1.5482923,2.10E-13
COL5A2,2.0376276,2.11E-13
HNRNPR,-1.3097108,2.12E-13
CLDN19,-2.8426562,2.15E-13
CYBB,2.1071349,2.19E-13
MAD2L1BP,1.0280705,2.19E-13
PRCP,0.8960157,2.21E-13
ARHGEF2,-1.0882174,2.21E-13
AKAP7,1.7326396,2.24E-13
MID1,2.6913783,2.32E-13
MS4A7,3.6408745,2.32E-13
TRIM14,1.9724352,2.34E-13
RASGRP3,2.4690481,2.36E-13
PRELP,-2.7166179,2.38E-13
CCNB1IP1,-0.9423999,2.43E-13
MDM2,1.5663234,2.46E-13
CPVL,3.7250529,2.47E-13
PTPRC,2.3516234,2.49E-13
SH3BGRL2,-2.1400804,2.53E-13
ACTR3B /// LOC100290215,-1.1634429,2.57E-13
TMOD2,2.260003,2.59E-13
CBLB,-1.8153195,2.65E-13
IRAK4,1.2743216,2.65E-13
USP46,-1.4451725,2.65E-13
METTL7B,-3.979836,2.67E-13
GTF2F2,-0.9549674,2.72E-13
GIMAP2,2.6811514,2.80E-13
USP46,-2.176871,2.82E-13
SOX7,-1.8037513,2.93E-13
TMEM30B,-2.1851452,2.93E-13
TLE2,-2.5794275,2.97E-13
HSD11B1,-1.7478255,2.98E-13
UACA,-1.5854294,3.00E-13
C5orf15,0.8064826,3.04E-13
SC4MOL,-2.031558,3.04E-13
ABCB6 /// ATG9A,-1.3998569,3.10E-13
TMEM132C,-3.2045085,3.13E-13
MANBA,1.5277282,3.15E-13
PBX2,1.2510803,3.17E-13
HMHA1,1.9142343,3.18E-13
ACADL,-2.6475171,3.22E-13
CLSTN2,2.8743828,3.23E-13
KIAA1462,-2.2929917,3.24E-13
SPTLC3,-1.9867665,3.28E-13
GATA2,3.813579,3.33E-13
DEPDC1B,-2.5728024,3.35E-13
ST3GAL6,2.0576923,3.35E-13
SASH3,2.9769509,3.37E-13
TREM2,2.9558217,3.38E-13
RBPMS2,-2.5614232,3.44E-13
PRKAG1,0.815631,3.54E-13
FLNB,-1.6773618,3.57E-13
SLC7A2,-4.1436124,3.64E-13
DUSP6,1.650742,3.68E-13
DHPS,-0.7845355,3.73E-13
AIF1,2.4060803,3.73E-13
ADRBK2,1.3780158,3.76E-13
ART3,-4.4138485,3.77E-13
NEDD4L,1.760958,3.82E-13
ODZ2,-3.9050728,3.93E-13
GSTZ1,1.4687238,3.96E-13
ZBTB34,0.9845646,4.02E-13
AKAP7,1.847948,4.09E-13
DARC,-2.9866203,4.10E-13
SFRP1,4.3578566,4.19E-13
DEPDC1B,-1.9711003,4.22E-13
PAG1,1.2561707,4.35E-13
MEF2A,1.4757418,4.38E-13
TMTC1,-1.3511545,4.47E-13
SASH3,2.6511458,4.50E-13
CLIC5,-1.6745714,4.50E-13
ADRBK2,1.7652663,4.53E-13
ANPEP,-2.712998,4.59E-13
C3orf38,0.9868063,4.64E-13
DHCR24,-2.781214,4.74E-13
FGF20,2.8756438,4.76E-13
KCTD8,-2.9414838,4.76E-13
FGD5,-1.1788008,4.87E-13
ART3,-4.0457971,5.05E-13
PPP1R3E,-1.2207526,5.18E-13
IQCK,-1.0636719,5.18E-13
KCNMB4,1.5616308,5.22E-13
ADH1A /// ADH1B /// ADH1C,-4.8842817,5.30E-13
IKZF1,2.3966504,5.41E-13
CARD8,1.4743999,5.42E-13
RNASET2,1.9508927,5.43E-13
MEF2A,1.7891842,5.47E-13
ZNRF1,-1.0990013,5.52E-13
LRRN4CL,-1.5987287,5.58E-13
AMD 1.00,-1.0522107,5.60E-13
HIF3A,-2.6505768,5.68E-13
OCRL,-0.8030619,5.72E-13
OSBPL11,2.6701928,5.77E-13
RASSF4,1.8053641,5.81E-13
HLA-DMA,2.4808796,5.86E-13
FXYD7,-1.9904075,5.91E-13
TBXAS1,2.7905718,5.93E-13
NPAS2,-1.3028845,5.95E-13
UNC13A,-1.7423719,5.97E-13
C19orf50,-0.5840261,6.09E-13
CLIC5,-1.4031794,6.12E-13
PARD3,-1.473935,6.14E-13
C3orf38,0.9028532,6.14E-13
SRP68,-0.5320317,6.15E-13
LTC4S /// MAML1,2.2431062,6.21E-13
POU4F1,-2.1095285,6.23E-13
ADH1C,-4.2259456,6.24E-13
JUN,1.6773631,6.28E-13
GATA2,3.4506669,6.31E-13
LST1,2.3964778,6.37E-13
STS,2.157462,6.42E-13
ZC3H12D,2.4535038,6.43E-13
CSK,1.2309146,6.48E-13
CYTL1,2.9046133,6.52E-13
ADCK4,-1.1715568,6.75E-13
PYGL,1.4857976,6.87E-13
RGS6,-1.3380761,6.98E-13
TCEAL2,-4.4889172,7.03E-13
PLXNB1,-1.8925351,7.25E-13
SUMF2,1.0786534,7.25E-13
ITGAM,2.1800718,7.29E-13
KLK8 /// KLK9,-2.0716904,7.38E-13
PYCARD,1.9366179,7.44E-13
SLC3A2,-0.9051401,7.47E-13
ADH1C,-4.2414325,7.50E-13
USP54,-2.1810913,7.57E-13
FAM198A,-1.3784822,7.71E-13
SMOX,-1.3793121,7.71E-13
FYB,2.7914551,7.78E-13
FLJ41484,2.092387,7.78E-13
IGFBP6,-1.9310833,7.84E-13
TMCC3,1.3328068,7.85E-13
ALPL,-2.1407769,8.03E-13
NLGN4X,2.4770747,8.14E-13
CARD8,1.4290494,8.27E-13
C16orf88,-1.5418561,8.29E-13
UPRT,1.0331244,8.38E-13
BDKRB2,-1.9916593,8.52E-13
GHR,-2.4477728,8.55E-13
NHSL1,2.2106423,8.75E-13
PAQR5,-1.6149457,8.75E-13
TMEM97,-1.7584248,8.88E-13
CD276,1.2804609,8.94E-13
TNS3,1.1749882,8.96E-13
EIF3B,-0.721873,8.96E-13
AKR1C1,-4.0388721,9.17E-13
OSBPL11,2.0353789,9.22E-13
TBXAS1,2.965485,9.24E-13
HYOU1,-1.3398461,9.32E-13
NNT,1.4969097,9.46E-13
BTBD11,-2.3321173,9.58E-13
CD86,3.0208448,9.72E-13
PHF11,1.5317975,9.93E-13
NCDN,-1.476407,9.98E-13
LAMP1,2.2361098,1.01E-12
MYOF,1.8178773,1.01E-12
DOCK8,2.5840918,1.02E-12
KLF5,-4.1064978,1.03E-12
PALMD,-2.4631502,1.04E-12
FILIP1,-1.4638701,1.04E-12
LAT2,2.4363472,1.06E-12
TNNT2,-2.5387492,1.08E-12
TRAP1,-0.8641377,1.09E-12
PALMD,-2.2474339,1.09E-12
RNASET2,2.0043799,1.10E-12
CKLF,1.2725865,1.10E-12
ART3,-4.4346319,1.12E-12
KTI12,0.860714,1.12E-12
MAPK8IP2,-2.5050254,1.12E-12
MYOF,1.7975485,1.13E-12
MS4A6A,3.2443236,1.13E-12
RPS6P6 /// TMEM150C,-2.1506877,1.16E-12
ARHGAP4,1.4183481,1.17E-12
CLEC7A,2.5440784,1.17E-12
HOXB3,-1.4819042,1.18E-12
C13orf33,-4.2749348,1.19E-12
SQLE,-1.5490076,1.21E-12
DFNA5,2.399208,1.23E-12
STXBP6,-2.9796581,1.24E-12
TIE1,-2.5019438,1.28E-12
RUNX1T1,-2.6167874,1.28E-12
TMOD1,-3.2962612,1.28E-12
---,2.9405625,1.31E-12
AIF1,2.0400884,1.32E-12
SUMF1,1.2429697,1.32E-12
ZNF684,1.2846114,1.34E-12
TMTC1,-2.7210815,1.36E-12
FYB,2.5147747,1.38E-12
CKAP2,1.2726295,1.39E-12
LAMP2,1.4596321,1.39E-12
HIC1,-1.1151701,1.43E-12
PRRG3,-2.8820542,1.44E-12
MMP19,2.4922371,1.44E-12
CTDSPL,1.392558,1.45E-12
LARP6,-2.9564356,1.49E-12
TLE2,-2.5885491,1.53E-12
KLHL5,1.2892571,1.53E-12
CHD2,-0.9753637,1.55E-12
GMIP,2.2103115,1.55E-12
AIF1,2.1812798,1.55E-12
