Gene_Name,logFC,PValue
PREX1,-2.03770379,1.99E-10
TJP2,2.66562025,2.06E-10
SLC2A1,2.76118723,2.06E-10
MFSD11,-0.76056037,2.11E-10
EBF2,1.7671285,2.11E-10
ARHGEF6,-2.12913267,2.18E-10
REEP1,4.40373291,2.26E-10
FAM107A,3.79322546,2.33E-10
PALLD,-2.29008232,2.34E-10
P2RY13,-1.80750384,2.47E-10
RNF10,0.90651415,2.48E-10
RAB31,-2.37300608,2.49E-10
LOC286052,-1.37784646,2.50E-10
ELOVL7,2.11014579,2.67E-10
COL1A2,-2.11202948,2.77E-10
PION,-2.47905923,2.78E-10
PRICKLE1,3.050446,2.90E-10
SORL1,-2.51070219,2.94E-10
BNC2,3.31440307,2.97E-10
RP2,-1.30126539,3.09E-10
FILIP1,3.23132052,3.12E-10
RPS6P6 /// TMEM150C,2.57973189,3.20E-10
EYA2,1.64470077,3.22E-10
BIRC7,2.27204513,3.24E-10
PALLD,-2.40150104,3.29E-10
PHIP,0.69809814,3.47E-10
RBPMS2,2.87533846,3.50E-10
TIE1,2.95263845,3.50E-10
SVIP,2.41428831,3.51E-10
TM6SF1,-1.89906132,3.53E-10
NEFH,4.02424775,3.63E-10
GLDC,3.84589924,3.67E-10
PION,-2.41925066,3.72E-10
SPON2,-3.54293258,3.75E-10
---,3.60323241,3.77E-10
SNORA72,1.41967961,3.79E-10
PRSS23,-2.03343816,3.81E-10
FOLH1,2.84387482,4.02E-10
SLC36A2,4.96305978,4.03E-10
RASSF4,-2.42898249,4.18E-10
ZNF71,-1.28732269,4.26E-10
NMNAT2,3.37590142,4.38E-10
TJP2,3.30026268,4.44E-10
EYA2,1.73602695,4.56E-10
CLP 1,-1.1495144,4.61E-10
NAPSB,-2.8997543,4.73E-10
TAC1,5.14058405,4.94E-10
GAL,3.21242005,5.01E-10
MLPH,4.58905705,5.14E-10
BIRC7,3.21849818,5.22E-10
CDO1,3.92685264,5.23E-10
SPON2,-3.60123133,5.25E-10
SPTLC3,2.1383561,5.32E-10
NRD1,0.68175028,5.54E-10
CCDC34,1.49295286,5.55E-10
KLF5,4.04633383,5.64E-10
HYAL1,2.23050539,5.70E-10
SOX9,2.3826586,5.93E-10
PLCB4,2.72966673,6.33E-10
AGA,-1.66086545,6.61E-10
GTF2F2,1.04972562,6.72E-10
PRSS23,-1.6556654,6.81E-10
ARHGEF16,3.03224093,6.98E-10
LARP6,2.74817504,7.77E-10
RASSF4,-2.75357462,8.08E-10
1-Mar,-2.34892138,8.30E-10
PARD3,1.73423895,8.38E-10
HNRNPR,1.35462033,8.51E-10
TBX15,1.68188711,8.54E-10
FOLH1,2.64811826,8.55E-10
CDK6,-2.66778021,8.66E-10
PEX5L,3.89820197,8.82E-10
TJP2,3.30882412,8.88E-10
PALLD,-2.5444659,9.24E-10
MFSD11,-0.71094842,9.39E-10
MEOX2,3.40087099,9.48E-10
SFRS1,0.93860187,9.56E-10
SLPI,5.93837318,9.66E-10
EIF2C4,-1.14111879,9.82E-10
SLFN12,-1.52892727,1.00E-09
TJP2,3.08631967,1.01E-09
ARPC1B /// LOC653888,-2.03035599,1.05E-09
AURKB,3.34986015,1.14E-09
TNFSF12,-1.29422911,1.16E-09
GGTA1,-2.8432007,1.18E-09
SLC12A2,2.29908058,1.18E-09
PRSS23,-2.07615253,1.19E-09
SLC38A5,1.71553996,1.20E-09
ABCB6 /// ATG9A,1.41205216,1.20E-09
ANXA1,-1.68308278,1.22E-09
ANXA1,-1.65183341,1.22E-09
GRAMD1B,2.70913618,1.23E-09
NIN,-0.9981373,1.26E-09
TMEFF2,3.47407881,1.28E-09
METTL7B,4.22193143,1.28E-09
GPRC5B,2.9913703,1.28E-09
EFNB1,1.79653844,1.30E-09
FLJ41484,-2.20337062,1.35E-09
KIF5C,2.92466963,1.38E-09
TMOD1,3.48962653,1.39E-09
CHGB,1.86391727,1.39E-09
GLDC,3.67219978,1.42E-09
COL1A2,-2.03491955,1.47E-09
TM6SF1,-1.92690483,1.51E-09
CDK6,-2.52708304,1.62E-09
PDCD4,-1.07842225,1.65E-09
FOLH1 /// FOLH1B,2.39117839,1.68E-09
LOC283859,1.41141366,1.68E-09
KLK8 /// KLK9,2.24831794,1.69E-09
SNAP91,2.96850134,1.70E-09
LGI1,4.38222383,1.72E-09
NRD1,0.66350608,1.73E-09
FABP7,4.6418462,1.78E-09
MME,3.02993247,1.80E-09
RUNX1T1,2.43466997,1.87E-09
SNCG,2.81942102,1.90E-09
MAST2,1.50696345,1.94E-09
GRAMD1B,2.35174297,1.95E-09
DNER,2.94080622,1.97E-09
MFSD2A,3.03805266,1.97E-09
GNG4,2.32441607,2.04E-09
MLPH,2.60993045,2.04E-09
PRSS23,-1.83553831,2.06E-09
COL5A2,-1.70716438,2.07E-09
C10orf11,-1.49186973,2.11E-09
AKR1C1 /// AKR1C2,3.82492712,2.11E-09
CXorf57,2.2929638,2.20E-09
C20orf194,-0.75869105,2.30E-09
KLF13,-1.1492905,2.31E-09
SFRS1,0.84617422,2.32E-09
PPFIBP1,1.91521366,2.34E-09
IRX3,2.20126409,2.34E-09
IRAK4,-1.25377333,2.38E-09
RASAL2,1.43147249,2.44E-09
TJP2,3.37914188,2.51E-09
SLMAP,1.30450282,2.59E-09
PRSS23,-1.54624591,2.65E-09
MARCKS,-1.7644099,2.71E-09
A4GALT,1.83287499,2.87E-09
STX11,-2.78412459,2.88E-09
PPFIBP1,2.36754725,2.90E-09
TERF2IP,0.64847178,2.93E-09
CDK6,-2.16665768,2.96E-09
P2RY2,2.31981309,2.97E-09
GNG3,3.81080157,2.99E-09
RBP4,4.44693274,3.00E-09
DENND1B,-1.19064069,3.00E-09
C6orf142,3.84155417,3.07E-09
MLPH,3.01153818,3.11E-09
SLC22A3,3.38887811,3.17E-09
NTRK1,3.75545669,3.18E-09
KAZ,1.87496291,3.20E-09
CLDN19,3.31381423,3.33E-09
CSF1R,-1.98428357,3.35E-09
ELAVL4,3.9395515,3.38E-09
VEGFB,-1.13476179,3.40E-09
CCND1,-1.96390499,3.45E-09
PALMD,3.06298233,3.46E-09
SYT1,3.47203455,3.54E-09
TJP2,3.45820428,3.57E-09
Septin 8,1.50036071,3.65E-09
CDKN1B,1.29706001,3.68E-09
ARHGEF16,3.13195382,3.69E-09
ITIH3,3.10266956,3.73E-09
SH3BGRL2,2.21042707,3.80E-09
SOX9,0.88195281,3.91E-09
CLDN19,3.03502117,3.99E-09
LOXL3,-2.04146835,4.05E-09
SLC15A3,-1.98959932,4.06E-09
SNORA80,1.44478267,4.07E-09
PHRF1,-0.66582194,4.16E-09
MRAP2,2.97866822,4.23E-09
PDCD4,-0.94613016,4.25E-09
SVIP,2.42400511,4.33E-09
BNC2,2.32425703,4.35E-09
AGA,-1.08868388,4.43E-09
C2orf82,2.87796996,4.44E-09
A4GALT,2.28722368,4.54E-09
SCGN,1.01743652,4.67E-09
PDCD4,-0.72946175,4.71E-09
COL5A2,-2.02277161,4.75E-09
C19orf63,-0.61665421,4.78E-09
PRICKLE1,3.1851596,4.88E-09
RUNX1T1,2.54358212,4.97E-09
MOBKL2B,2.61549198,5.04E-09
YAP1,1.59942934,5.10E-09
CLEC7A,-2.21713649,5.37E-09
PDGFD,-2.99891695,5.42E-09
GJB1,2.93627051,5.54E-09
QSOX1,-1.32740239,5.61E-09
STX11,-2.1994779,5.71E-09
LDLRAD3,1.5924825,5.77E-09
IL17RB,2.06539463,5.81E-09
ATP1A1,1.7676422,5.83E-09
IQCK,1.18444525,5.89E-09
TRIB2,0.97233868,6.05E-09
VAT1L,3.68820206,6.08E-09
CHST2,2.59305884,6.09E-09
PLXNB1,2.04688952,6.16E-09
CRISPLD2,1.44726102,6.25E-09
SLCO1C1,1.26244539,6.38E-09
MAPK8IP2,2.75035057,6.44E-09
CCND1,-3.13589155,6.52E-09
PRICKLE1,3.35003946,6.63E-09
FAM107A,2.25946188,6.66E-09
ELAVL3,2.30663954,6.66E-09
DIDO1,-1.18986184,6.77E-09
GPR4,2.88906652,6.92E-09
CLDN5,2.8299871,6.94E-09
PDCD4,-0.64393411,6.99E-09
TRNAU1AP,-0.87860503,7.11E-09
DDX31,0.87572525,7.11E-09
FBLN5,1.96826218,7.12E-09
TUBB4,2.563722,7.13E-09
FBXO2,3.16037672,7.22E-09
EFNA1,3.1172864,7.47E-09
KCTD8,3.01216173,7.47E-09
DOCK8,-2.34135467,7.86E-09
SLC43A1,1.27305527,7.90E-09
ADRBK2,-1.88875808,7.99E-09
DCK,-1.35509489,8.08E-09
SERPIND1,2.85255578,8.13E-09
DCK,-1.17484727,8.13E-09
SLCO1C1,1.92438011,8.14E-09
GLIPR2,-1.54942945,8.21E-09
COL5A2,-2.09601591,8.21E-09
ITPKB,1.62457865,8.52E-09
C1orf130,3.99188554,8.56E-09
EBF2,2.4379173,8.65E-09
CHST2,2.5119794,9.07E-09
NLK,1.11397982,9.17E-09
C7orf68,2.92063602,9.40E-09
FAM107A,3.7672919,9.49E-09
C3orf38,-0.79689726,9.62E-09
ARHGAP19,1.64190684,9.69E-09
PDGFB,-1.27833149,9.82E-09
CRABP1,4.92965816,9.91E-09
ENAH,2.51643767,9.92E-09
TSHZ2,3.48603256,9.94E-09
FOXP1,1.5228792,1.00E-08
CLTB,1.15302797,1.00E-08
FLNB,1.5911463,1.01E-08
KLK7,2.96196721,1.01E-08
ASS1,4.16064983,1.02E-08
CCND1,-2.51920145,1.02E-08
CXorf57,1.03986942,1.02E-08
FBXO2,3.64029712,1.03E-08
CSF2RA,-2.0009122,1.03E-08
DAP,-0.97151429,1.04E-08
BIRC7,3.42199493,1.04E-08
ANXA1,-1.2579442,1.04E-08
RASA2,1.30374557,1.06E-08
ACSS3,1.36730396,1.07E-08
MLLT4,3.00189258,1.07E-08
CCND1,-2.74356526,1.08E-08
ADH1A /// ADH1B /// ADH1C,3.78250605,1.09E-08
CCNA1,1.4054049,1.09E-08
CHP2,4.43833647,1.10E-08
RRAGC,-1.13856745,1.10E-08
CHST14,-1.19668135,1.11E-08
SLC20A2,1.33325366,1.13E-08
BEGAIN,1.87727145,1.16E-08
SPTBN4,1.83979542,1.17E-08
STK4,-1.0198547,1.17E-08
ABCA5,1.95428671,1.20E-08
NRAS,-0.87178715,1.20E-08
PHF11,-1.51673944,1.21E-08
ISOC1,1.51377186,1.22E-08
ADH1C,3.6257912,1.24E-08
NLK,1.05788053,1.25E-08
RUNX1T1,2.33419573,1.27E-08
FAM82A1,1.65616446,1.30E-08
IGFBP6,2.23105303,1.30E-08
NOP56,0.82087485,1.32E-08
MYBL1,-2.56518672,1.32E-08
CKMT1A /// CKMT1B /// LOC100292542,1.90149586,1.33E-08
LRRN3,-1.7809014,1.34E-08
GPR34,-3.66038276,1.35E-08
RNF10,0.66354332,1.37E-08
CKLF,-1.16936468,1.38E-08
FZD5,0.89681748,1.39E-08
ZNF100,-0.89053514,1.39E-08
ATP6V1G2,2.50182466,1.39E-08
MMP14,-1.14874719,1.39E-08
SORL1,-2.17060745,1.39E-08
LGI1,2.56175948,1.40E-08
IRX3,2.25290519,1.40E-08
DGAT2,2.518737,1.40E-08
SLC7A5,0.82911441,1.41E-08
COL1A2,-1.36774078,1.41E-08
PTPRU,2.11982478,1.42E-08
FDFT1,1.54070511,1.42E-08
PALMD,2.68336399,1.43E-08
LPAR5,-2.41814104,1.45E-08
ASS1,3.67185516,1.46E-08
CYP4X1,3.29738125,1.46E-08
---,-1.4594411,1.53E-08
HYOU1,1.4302997,1.55E-08
CCDC112,-1.02104405,1.61E-08
1-Mar,-1.52653803,1.61E-08
GLIPR2,-1.76830525,1.62E-08
TMTC1,3.57290179,1.67E-08
ZDHHC7,-0.70128903,1.68E-08
ARHGAP10,1.85670253,1.70E-08
USP46,2.11866253,1.71E-08
FAM129A,-1.6043142,1.72E-08
TKT,1.36614771,1.73E-08
ZNF549,-1.28854599,1.73E-08
PALMD,3.04235507,1.73E-08
LUC7L3,0.99428273,1.80E-08
ADH1C,3.78493858,1.80E-08
CYYR1,2.1721202,1.82E-08
ADH1B,2.24920275,1.88E-08
CLIP4,1.2376464,1.90E-08
NUMBL,1.30196755,1.91E-08
IQCA1,3.53763317,1.92E-08
TCF7,-1.52550082,1.92E-08
LHFPL2,-1.5026383,1.94E-08
PAQR5,3.1517434,1.94E-08
SPTBN5,3.01525413,1.95E-08
AGT,2.39393075,1.96E-08
COL1A2,-1.68621361,1.97E-08
LOC220930,0.77009719,1.98E-08
CREB3L2,1.47350809,2.01E-08
GPNMB,-3.0952436,2.01E-08
CASP1,-1.99725246,2.02E-08
PLCB4,2.65182268,2.07E-08
BEX5,2.527541,2.07E-08
CDH2,-2.15440342,2.10E-08
CNTF /// ZFP91 /// ZFP91-CNTF,4.16139012,2.10E-08
MAPK4,1.91500347,2.14E-08
C16orf53,-0.91202885,2.15E-08
SCN2A,-4.13108188,2.15E-08
MLPH,3.12400255,2.16E-08
EMB /// LOC647121,-2.96510041,2.16E-08
ELAVL4,3.1944321,2.16E-08
RRAGC,-0.91058029,2.21E-08
TP53INP1,-1.56542411,2.23E-08
CAMKK2,-0.84704684,2.23E-08
CASP1,-1.91468151,2.24E-08
AP1S1,-1.56768141,2.30E-08
NPTX1,2.42578574,2.30E-08
TTC39C,-1.38685171,2.37E-08
A2BP1,2.34153693,2.38E-08
SULT4A1,3.13636876,2.41E-08
DLK2,0.95069288,2.42E-08
CREB3L2,1.11288812,2.42E-08
DSCR3,-0.79186258,2.43E-08
FAM171B,2.95296654,2.43E-08
OIP5,-0.86089327,2.45E-08
FAM129A,-1.30182405,2.47E-08
ANXA1,-1.33701786,2.49E-08
NAT1,-1.87482735,2.50E-08
TMEM71,-1.71328215,2.55E-08
MECOM,1.16985336,2.59E-08
C3orf38,-0.92066485,2.66E-08
DOCK8,-1.9301554,2.66E-08
PPP1R13B,0.80992836,2.70E-08
CHAF1A,-0.98683801,2.71E-08
TESK2,1.99262721,2.78E-08
DOCK8,-1.9273043,2.78E-08
PINX1,0.94473425,2.78E-08
ABCC9,2.33756889,2.79E-08
ATP1A1,1.54985102,2.79E-08
RASSF4,-2.12925848,2.87E-08
TUBB4,2.57453377,2.88E-08
FDFT1,1.55251387,2.89E-08
NFASC,2.96185786,2.90E-08
PLEKHA6,1.50698528,2.90E-08
CLN8,-1.56551113,2.98E-08
PDRG1,1.11617183,3.00E-08
WNK2,1.15990137,3.00E-08
AKR1C2,4.01670841,3.01E-08
KIAA1244,1.77993317,3.04E-08
TET2,-1.35477274,3.05E-08
BNC2,3.29864027,3.16E-08
ALCAM,-2.41273671,3.17E-08
COL5A1,-1.88595217,3.21E-08
PLXNB1,1.76487785,3.23E-08
C1orf128,0.98655529,3.26E-08
ADH1B,3.56073177,3.31E-08
FOXD2,1.73463695,3.32E-08
NMB,2.25619118,3.33E-08
ATP1A1,1.55079693,3.43E-08
LOC730098,1.41323329,3.44E-08
FAM78A,-1.89341091,3.55E-08
MME,2.5005897,3.58E-08
ATP1A1,1.48446922,3.66E-08
CCDC25,1.07983205,3.71E-08
TMEM132C,3.21605332,3.72E-08
DLC1,1.26000001,3.73E-08
LAMP2,-1.29758025,3.75E-08
AGXT2L1,4.11881311,3.97E-08
EPB49,1.64219252,4.00E-08
CPXM2,2.52078626,4.02E-08
STEAP2,3.08308261,4.04E-08
RPS6KA2,1.4510687,4.06E-08
PELI2,1.56897282,4.06E-08
FGFRL1,1.49676968,4.09E-08
GLRB,-2.86800476,4.10E-08
FDFT1,1.45713713,4.15E-08
C5orf15,-0.7981349,4.16E-08
DHPS,0.73510312,4.16E-08
NEDD4L,-1.82388925,4.17E-08
SYT1,2.60488015,4.18E-08
EBPL,1.02010917,4.18E-08
MYO1B,2.32991519,4.19E-08
ADAM23,-4.19500929,4.26E-08
TXNRD3,1.2821215,4.29E-08
SH3BP2,-1.70147174,4.31E-08
MANBA,-1.24394147,4.31E-08
LTC4S,-2.05886405,4.31E-08
CALM3,1.18600736,4.36E-08
TSHZ2,1.52031956,4.43E-08
TRNAU1AP,-0.86458795,4.43E-08
ADH1B,4.06340064,4.44E-08
TRIM14,-2.31604707,4.56E-08
ADH1B,4.56498589,4.57E-08
PLD4,-2.02738975,4.62E-08
ANKRD17,0.48098839,4.63E-08
COL5A1,-1.55420191,4.75E-08
SELPLG,-2.11574069,4.87E-08
NMNAT2,2.76455842,4.95E-08
ELAVL4,2.84859181,5.00E-08
LASP1,-0.82177864,5.01E-08
UAP1,1.72056192,5.04E-08
CNTF /// ZFP91-CNTF,4.88857944,5.12E-08
HOXB2,2.49686896,5.13E-08
NCRNA00085,0.98017771,5.24E-08
ZNF354C,-0.92762753,5.28E-08
S100A13,1.9559312,5.31E-08
RGS18,-2.08606143,5.31E-08
PLXNB2,-0.83611923,5.33E-08
GPX1,-1.51165544,5.35E-08
GPNMB,-3.20535467,5.40E-08
ZNF434,-0.9862366,5.41E-08
PRKCA,1.70814676,5.41E-08
NCDN,1.65045966,5.46E-08
APH1A,-0.681323,5.53E-08
TTC7A,-0.84973759,5.59E-08
GATA2,-3.40807932,5.62E-08
AQP3,3.12197934,5.70E-08
TUBA4A,2.41753206,5.74E-08
TMEFF2,2.58137274,5.74E-08
PLA2G4A,-2.91615101,5.84E-08
PRTFDC1,-2.04373084,5.84E-08
CMTM6,-0.85548281,5.92E-08
SLC13A3,2.65555304,6.00E-08
KIFC3,-2.10374049,6.03E-08
C4orf33,-1.23082363,6.09E-08
BLOC1S2,-0.94260894,6.11E-08
RAB6B,3.07429359,6.13E-08
FAM105A,-1.44524831,6.23E-08
PDCD6IP,0.60118182,6.25E-08
USP46,2.04517873,6.26E-08
CLEC7A,-2.55516316,6.36E-08
CCNY,-0.92810373,6.37E-08
TWIST1,3.45326824,6.39E-08
DDX31,0.9588391,6.42E-08
TMEM150C,1.47711987,6.44E-08
RPL28,0.89045293,6.48E-08
ZBTB34,-1.04891731,6.49E-08
MMP19,-2.71110305,6.64E-08
SLC17A6,3.04557671,6.65E-08
HDAC9,-1.82210449,6.66E-08
CTNND2,2.32300388,6.66E-08
RNF24,0.90420921,6.74E-08
KCNK2,1.99826482,6.86E-08
GNG4,1.97370427,6.98E-08
COTL1,-1.21385989,7.03E-08
PALM3,1.54642823,7.09E-08
CACHD1,2.20162518,7.12E-08
COL3A1,-3.02749807,7.19E-08
GPNMB,-2.88416509,7.23E-08
GFRA2,-3.51680691,7.33E-08
SLC4A4,3.64583162,7.36E-08
TAGLN3,2.90391211,7.39E-08
PDZRN4,3.65519672,7.39E-08
ALPL,2.35513821,7.41E-08
SPAG5,1.90294626,7.52E-08
ARAP2,-1.74286113,7.56E-08
GATA2,-3.72118238,7.58E-08
FGF13,0.92828987,7.59E-08
CSF2RA,-1.95609528,7.65E-08
RFX5,-1.22049836,7.77E-08
HTRA3,1.99707381,7.77E-08
LRP12,-1.04599273,7.78E-08
GLI1,2.3226578,7.87E-08
LPCAT2,-1.52546621,7.93E-08
NCSTN,-0.85880854,7.97E-08
GRIA2,2.49875253,8.03E-08
EVI2B,-2.65331888,8.05E-08
SYN2,2.64309143,8.07E-08
LGI3,2.69215295,8.18E-08
GCAT,1.24814298,8.31E-08
KIAA1467,1.33562799,8.36E-08
GRAMD1B,1.45880366,8.45E-08
MIF4GD,-0.82286861,8.49E-08
SLC20A2,1.56598162,8.49E-08
RNF10,0.68582873,8.50E-08
PTS,0.755056,8.51E-08
ZNF45,-1.19587279,8.51E-08
TAX1BP1,0.54703975,8.58E-08
FAM169A,2.70932724,8.63E-08
YAP1,1.5413617,8.68E-08
BAX,-2.0951289,8.84E-08
PDP1,-1.03916671,8.88E-08
SORCS3,-2.41638418,8.91E-08
TRIM34 /// TRIM6-TRIM34,-1.80481551,8.96E-08
GPR34,-3.4363832,9.06E-08
IFNAR2,-1.04430322,9.07E-08
SMTN,2.11422321,9.08E-08
CLSTN2,-3.24534755,9.11E-08
SERAC1,-1.71733537,9.14E-08
ABCB1,2.64774975,9.20E-08
GPX1,-1.65960801,9.23E-08
NAT10,0.63449826,9.24E-08
CACNA2D4,-0.79746026,9.25E-08
C1orf130,2.529408,9.27E-08
C20orf46,1.80090101,9.37E-08
DNM1,2.90049429,9.40E-08
SOX9,1.8567217,9.43E-08
AMD 1.00,1.22040046,9.46E-08
PDE6B,-1.31012356,9.60E-08
SLC26A6,0.73011655,9.61E-08
GCNT1,-2.32703077,9.67E-08
SYT9,1.61088905,9.69E-08
---,-1.81014279,9.88E-08
TGFBR3,1.29423126,1.00E-07
MOXD1,-4.0405768,1.01E-07
SUMF2,-0.92136956,1.02E-07
FOXC1,3.05837054,1.03E-07
SOX7,1.70940098,1.05E-07
GPNMB,-2.73026702,1.05E-07
ALCAM,-1.85254703,1.05E-07
CASP1,-1.84419573,1.05E-07
ETV4,1.29018116,1.05E-07
SNAP25,2.47352146,1.07E-07
SLCO1C1,1.71995479,1.07E-07
CCDC94,-0.69600396,1.07E-07
TOMM34,0.94166992,1.07E-07
ALPL,2.35474901,1.08E-07
KIFC3,-1.90027746,1.09E-07
CD37,-2.34065738,1.10E-07
GNAI2,-0.81275336,1.10E-07
RPL31,1.0330581,1.11E-07
ADCYAP1R1,1.35498142,1.11E-07
AUTS2,0.74367877,1.12E-07
TMEM65,-1.49728911,1.12E-07
FGF1,2.69112847,1.13E-07
LMO3,3.35410779,1.13E-07
ZNF576,0.77970088,1.13E-07
GRRP1,1.16300422,1.14E-07
FOXC1,3.56888353,1.15E-07
TMTC1,2.70547334,1.16E-07
PPP1R3E,1.29331754,1.16E-07
MOBKL2B,2.55259679,1.16E-07
MLL5,0.86086305,1.17E-07
KAL1,-1.89866567,1.17E-07
KIF13A,-0.80156825,1.18E-07
COL3A1,-3.50653757,1.18E-07
BST1,-1.87416365,1.19E-07
TWISTNB,0.62904845,1.19E-07
FAM129A,-1.70567295,1.21E-07
MGEA5,0.90591875,1.21E-07
SEC24A,0.96524431,1.22E-07
NOP56,0.81243776,1.23E-07
CAMK2B,3.43926278,1.23E-07
ELAVL2,3.13885762,1.24E-07
TMCC3,-1.61028334,1.24E-07
CLEC1A,2.56700821,1.25E-07
---,0.84694283,1.25E-07
CFH,3.43575573,1.25E-07
ZDHHC7,-0.75873518,1.26E-07
CTNND2,2.21593613,1.28E-07
KTI12,-0.69316971,1.28E-07
CCND2,-1.41149527,1.28E-07
PRCP,-0.90888486,1.28E-07
GFRA2,-3.41237128,1.28E-07
ARL4D,1.26652424,1.28E-07
PGBD1,-1.11424128,1.29E-07
SLC12A2,1.98982231,1.31E-07
IL28RA,-2.70456818,1.31E-07
PPL,2.98453143,1.32E-07
BRCC3,-0.61175667,1.32E-07
PA2G4,0.58448657,1.33E-07
CYYR1,1.92451936,1.33E-07
DENND1B,-1.10768115,1.33E-07
CLEC7A,-2.31795768,1.33E-07
CYTSB,-1.17549096,1.35E-07
VCPIP1,-1.09144103,1.36E-07
AHCYL1,0.5035348,1.36E-07
TCF19,-1.07017056,1.37E-07
CYP4B1,3.83887408,1.37E-07
BNC2,2.7921094,1.38E-07
PHF11,-1.02908593,1.40E-07
LHPP,2.64794017,1.41E-07
FRMD4A,-2.03412782,1.41E-07
GAL3ST4,-2.06723887,1.42E-07
PLCB4,2.53310296,1.42E-07
S100P,4.16328393,1.44E-07
